Source_object_id,Target_object_id,O2O_qualifier,Timestamp
tr39,Pcp10,Dropped truck from pickup plan,2024-05-14 11:18:50
tr26,Pcp5,Assigned truck for pickup plan,2024-05-14 11:26:33
tr9,Pcp6,Assigned truck for pickup plan,2024-05-14 11:35:34
tr47,Pcp7,Assigned truck for pickup plan,2024-05-14 11:44:26
tr34,Pcp10,Assigned truck for pickup plan,2024-05-14 11:48:12
tr38,Pcp4,Assigned truck for pickup plan,2024-05-14 12:11:53
Silo16,tr21,Aranged silo for truck,2024-05-14 14:33:02
tr1,Pcp1,Assigned truck for pickup plan,2024-05-14 14:36:45
tr39,Pcp3,Assigned truck for pickup plan,2024-05-14 14:49:19
tr31,Pcp5,Assigned truck for pickup plan,2024-05-14 14:55:25
tr12,Pcp10,Assigned truck for pickup plan,2024-05-14 14:57:35
tr16,Pcp8,Assigned truck for pickup plan,2024-05-14 15:32:03
tr5,Pcp6,Assigned truck for pickup plan,2024-05-14 15:54:18
Silo17,tr27,Aranged silo for truck,2024-05-14 15:59:17
tr14,Pcp3,Assigned truck for pickup plan,2024-05-14 16:04:58
tr33,Pcp5,Dropped truck from pickup plan,2024-05-14 16:28:50
Silo11,tr13,Aranged silo for truck,2024-05-14 16:39:35
Silo10,tr10,Aranged silo for truck,2024-05-14 16:59:55
tr29,Pcp10,Assigned truck for pickup plan,2024-05-14 17:21:29
Silo19,tr7,Aranged silo for truck,2024-05-14 18:04:42
Silo8,tr22,Aranged silo for truck,2024-05-14 18:19:38
tr24,Pcp5,Dropped truck from pickup plan,2024-05-14 19:18:42
tr20,Pcp1,Assigned truck for pickup plan,2024-05-15 07:51:23
Silo6,tr44,Aranged silo for truck,2024-05-15 08:17:22
tr4,Pcp1,Assigned truck for pickup plan,2024-05-15 09:00:43
Silo10,tr40,Aranged silo for truck,2024-05-15 09:01:54
tr24,Pcp5,Assigned truck for pickup plan,2024-05-15 09:34:28
tr48,Pcp8,Assigned truck for pickup plan,2024-05-15 09:52:04
Silo19,tr26,Aranged silo for truck,2024-05-15 10:04:53
tr15,Pcp3,Assigned truck for pickup plan,2024-05-15 10:07:34
tr41,Pcp8,Assigned truck for pickup plan,2024-05-15 10:08:15
tr23,Pcp8,Assigned truck for pickup plan,2024-05-15 10:54:29
tr33,Pcp10,Assigned truck for pickup plan,2024-05-15 10:57:26
Silo6,tr11,Aranged silo for truck,2024-05-15 11:42:27
Silo11,tr49,Aranged silo for truck,2024-05-15 11:42:46
tr36,Pcp1,Assigned truck for pickup plan,2024-05-15 12:07:09
tr42,Pcp3,Assigned truck for pickup plan,2024-05-15 12:29:16
tr46,Pcp2,Assigned truck for pickup plan,2024-05-15 12:50:50
tr25,Pcp5,Dropped truck from pickup plan,2024-05-15 13:25:40
Silo16,tr28,Aranged silo for truck,2024-05-15 14:20:47
Silo11,tr35,Aranged silo for truck,2024-05-15 14:46:13
Silo11,tr43,Aranged silo for truck,2024-05-15 14:55:08
Silo10,tr38,Aranged silo for truck,2024-05-15 15:42:54
tr1,Pcp4,Assigned truck for pickup plan,2024-05-15 16:22:15
tr3,Pcp10,Dropped truck from pickup plan,2024-05-15 16:30:24
Silo11,tr50,Aranged silo for truck,2024-05-15 16:40:28
tr25,Pcp1,Assigned truck for pickup plan,2024-05-15 16:54:35
Silo10,tr17,Aranged silo for truck,2024-05-15 17:28:12
tr34,Pcp2,Assigned truck for pickup plan,2024-05-15 17:45:53
tr47,Pcp10,Assigned truck for pickup plan,2024-05-16 08:00:58
tr21,Pcp7,Dropped truck from pickup plan,2024-05-16 08:32:06
Silo8,tr4,Aranged silo for truck,2024-05-16 08:33:01
Silo17,tr41,Aranged silo for truck,2024-05-16 08:44:16
tr12,Pcp8,Assigned truck for pickup plan,2024-05-16 09:02:15
tr18,Pcp2,Assigned truck for pickup plan,2024-05-16 10:27:07
tr9,Pcp7,Assigned truck for pickup plan,2024-05-16 10:34:43
tr45,Pcp10,Dropped truck from pickup plan,2024-05-16 10:35:41
tr30,Pcp3,Assigned truck for pickup plan,2024-05-16 10:37:22
tr3,Pcp10,Assigned truck for pickup plan,2024-05-16 10:56:04
Silo8,tr36,Aranged silo for truck,2024-05-16 10:57:31
tr2,Pcp5,Dropped truck from pickup plan,2024-05-16 10:58:06
tr21,Pcp1,Assigned truck for pickup plan,2024-05-16 11:05:55
tr29,Pcp4,Assigned truck for pickup plan,2024-05-16 11:16:04
tr6,Pcp8,Dropped truck from pickup plan,2024-05-16 11:28:36
tr10,Pcp4,Dropped truck from pickup plan,2024-05-16 11:49:46
tr19,Pcp2,Dropped truck from pickup plan,2024-05-16 13:13:47
