ocel_IoTobject_id;ocel_object_id;ocel_qualifier;ocel_time
GrainTemp20;Silo7;2nd Grain Termperature sensor located in the silo;2024-05-07 14:08:34
GrainTemp21;Silo7;3rd Grain Termperature sensor located in the silo;2024-05-07 14:08:34
WS17;tr33;Weight sensor measuring loaded truck weight;2024-05-07 14:09:27
WS04;tr29;Weight sensor measuring empty truck weight;2024-05-07 14:12:06
WS11;tr5;Weight sensor measuring empty truck weight;2024-05-07 14:12:48
WS18;tr30;Weight sensor measuring empty truck weight;2024-05-07 14:32:43
WS05;tr16;Weight sensor measuring empty truck weight;2024-05-07 15:04:47
WS11;tr13;Weight sensor measuring loaded truck weight;2024-05-07 15:50:45
Temp10;Silo10;Temperature sensor measuring silo temperature;2024-05-07 15:58:23
Humd10;Silo10;Humidity sensor measuring silo humidity;2024-05-07 15:58:23
GrainTemp28;Silo10;1st Grain Termperature sensor located in the silo;2024-05-07 15:58:23
GrainTemp29;Silo10;2nd Grain Termperature sensor located in the silo;2024-05-07 15:58:23
GrainTemp30;Silo10;3rd Grain Termperature sensor located in the silo;2024-05-07 15:58:23
Temp10;Silo10;Temperature sensor measuring silo temperature;2024-05-07 15:58:44
Humd10;Silo10;Humidity sensor measuring silo humidity;2024-05-07 15:58:44
GrainTemp28;Silo10;1st Grain Termperature sensor located in the silo;2024-05-07 15:58:44
GrainTemp29;Silo10;2nd Grain Termperature sensor located in the silo;2024-05-07 15:58:44
GrainTemp30;Silo10;3rd Grain Termperature sensor located in the silo;2024-05-07 15:58:44
WS11;tr12;Weight sensor measuring loaded truck weight;2024-05-07 16:08:18
WS14;tr6;Weight sensor measuring empty truck weight;2024-05-07 16:13:51
WS18;tr43;Weight sensor measuring empty truck weight;2024-05-07 16:50:18
WS06;tr22;Weight sensor measuring loaded truck weight;2024-05-07 16:54:22
WS07;tr24;Weight sensor measuring empty truck weight;2024-05-07 17:50:12
WS14;tr3;Weight sensor measuring empty truck weight;2024-05-07 17:58:15
WS19;tr27;Weight sensor measuring empty truck weight;2024-05-07 18:54:39
WS20;tr45;Weight sensor measuring empty truck weight;2024-05-08 07:49:00
WS11;tr25;Weight sensor measuring empty truck weight;2024-05-08 08:04:11
WS08;tr18;Weight sensor measuring loaded truck weight;2024-05-08 08:13:35
WS16;tr4;Weight sensor measuring loaded truck weight;2024-05-08 08:22:01
WS03;tr28;Weight sensor measuring empty truck weight;2024-05-08 08:33:59
WS09;tr23;Weight sensor measuring empty truck weight;2024-05-08 08:42:24
WS13;tr11;Weight sensor measuring loaded truck weight;2024-05-08 09:12:45
WS04;tr32;Weight sensor measuring empty truck weight;2024-05-08 09:43:32
WS11;tr41;Weight sensor measuring empty truck weight;2024-05-08 10:15:29
WS10;tr39;Weight sensor measuring empty truck weight;2024-05-08 10:27:32
Temp16;Silo16;Temperature sensor measuring silo temperature;2024-05-08 10:51:25
Humd16;Silo16;Humidity sensor measuring silo humidity;2024-05-08 10:51:25
GrainTemp46;Silo16;1st Grain Termperature sensor located in the silo;2024-05-08 10:51:25
GrainTemp47;Silo16;2nd Grain Termperature sensor located in the silo;2024-05-08 10:51:25
