ocel_event_id;ocel_object_id;ocel_qualifier
weigh_empty_trucktr24;tr24;Truck weighed
weigh_empty_trucktr34;tr34;Truck weighed
assign_trs_Pcp10;tr16;Pickup plan trucks assignment
weigh_empty_trucktr23;tr23;Truck weighed
input_tally_sheettr3;tr3;Tally Sheet for pickup plan
print_w_tickettr3;tr3;Printed weighing ticket for pickup plan
weigh_loaded_trucktr26;tr26;Truck weighed
print_w_tickettr37;tr37;Printed weighing ticket for pickup plan
input_tally_sheettr37;tr37;Tally Sheet for pickup plan
print_w_tickettr48;tr48;Printed weighing ticket for pickup plan
input_tally_sheettr48;tr48;Tally Sheet for pickup plan
input_tally_sheettr10;tr10;Tally Sheet for pickup plan
print_w_tickettr10;tr10;Printed weighing ticket for pickup plan
load_trucktr23;tr23;cargo load for truck
eval_trs_exittr10_Pcp10;tr10;Exit evaluation for truck
eval_trs_exittr37_Pcp6;tr37;Exit evaluation for truck
load_trucktr12;tr12;cargo load for truck
eval_trs_exittr48_Pcp9;tr48;Exit evaluation for truck
eval_trs_exittr3_Pcp2;tr3;Exit evaluation for truck
eval_trs_exittr49_Pcp8;tr49;Exit evaluation for truck
input_tally_sheettr26;tr26;Tally Sheet for pickup plan
print_w_tickettr26;tr26;Printed weighing ticket for pickup plan
weigh_empty_trucktr5;tr5;Truck weighed
weigh_loaded_trucktr18;tr18;Truck weighed
load_trucktr24;tr24;cargo load for truck
load_trucktr34;tr34;cargo load for truck
print_w_tickettr44;tr44;Printed weighing ticket for pickup plan
input_tally_sheettr44;tr44;Tally Sheet for pickup plan
weigh_empty_trucktr7;tr7;Truck weighed
print_w_tickettr18;tr18;Printed weighing ticket for pickup plan
input_tally_sheettr18;tr18;Tally Sheet for pickup plan
weigh_empty_trucktr30;tr30;Truck weighed
eval_trs_exittr44_Pcp2;tr44;Exit evaluation for truck
load_trucktr30;tr30;cargo load for truck
eval_trs_exittr18_Pcp6;tr18;Exit evaluation for truck
weigh_loaded_trucktr21;tr21;Truck weighed
load_trucktr7;tr7;cargo load for truck
weigh_empty_trucktr17;tr17;Truck weighed
load_trucktr5;tr5;cargo load for truck
weigh_empty_trucktr25;tr25;Truck weighed
eval_trs_exittr26_Pcp3;tr26;Exit evaluation for truck
print_w_tickettr6;tr6;Printed weighing ticket for pickup plan
input_tally_sheettr6;tr6;Tally Sheet for pickup plan
assign_trs_Pcp10;tr40;Pickup plan trucks assignment
weigh_loaded_trucktr42;tr42;Truck weighed
input_tally_sheettr21;tr21;Tally Sheet for pickup plan
print_w_tickettr21;tr21;Printed weighing ticket for pickup plan
load_trucktr25;tr25;cargo load for truck
weigh_loaded_trucktr28;tr28;Truck weighed
weigh_loaded_trucktr32;tr32;Truck weighed
print_w_tickettr50;tr50;Printed weighing ticket for pickup plan
input_tally_sheettr50;tr50;Tally Sheet for pickup plan
eval_trs_exittr6_Pcp6;tr6;Exit evaluation for truck
eval_trs_exittr50_Pcp1;tr50;Exit evaluation for truck
weigh_empty_trucktr36;tr36;Truck weighed
