IoT_object_id,Object_id,IoT2O_qualifier,Timestamp
GrainTemp18,Silo6,3rd Grain Termperature sensor located in the silo,2024-05-07 13:50:15
WS15,tr21,Weight sensor measuring empty truck weight,2024-05-07 14:44:46
WS02,tr9,Weight sensor measuring empty truck weight,2024-05-07 14:45:39
WS05,tr33,Weight sensor measuring empty truck weight,2024-05-07 16:19:34
WS18,tr22,Weight sensor measuring loaded truck weight,2024-05-07 16:44:30
WS13,tr48,Weight sensor measuring loaded truck weight,2024-05-07 16:56:11
WS11,tr15,Weight sensor measuring loaded truck weight,2024-05-07 17:01:05
Temp18,Silo18,Temperature sensor measuring silo temperature,2024-05-07 17:18:59
Humd18,Silo18,Humidity sensor measuring silo humidity,2024-05-07 17:18:59
GrainTemp52,Silo18,1st Grain Termperature sensor located in the silo,2024-05-07 17:18:59
GrainTemp53,Silo18,2nd Grain Termperature sensor located in the silo,2024-05-07 17:18:59
GrainTemp54,Silo18,3rd Grain Termperature sensor located in the silo,2024-05-07 17:18:59
WS02,tr41,Weight sensor measuring loaded truck weight,2024-05-07 17:41:07
WS07,tr44,Weight sensor measuring empty truck weight,2024-05-08 07:45:46
WS13,tr3,Weight sensor measuring loaded truck weight,2024-05-08 08:03:18
WS03,tr17,Weight sensor measuring empty truck weight,2024-05-08 09:27:31
WS19,tr40,Weight sensor measuring empty truck weight,2024-05-08 09:31:36
WS10,tr35,Weight sensor measuring empty truck weight,2024-05-08 09:42:02
Temp10,Silo10,Temperature sensor measuring silo temperature,2024-05-08 10:11:22
Humd10,Silo10,Humidity sensor measuring silo humidity,2024-05-08 10:11:22
GrainTemp28,Silo10,1st Grain Termperature sensor located in the silo,2024-05-08 10:11:22
GrainTemp29,Silo10,2nd Grain Termperature sensor located in the silo,2024-05-08 10:11:22
GrainTemp30,Silo10,3rd Grain Termperature sensor located in the silo,2024-05-08 10:11:22
WS13,tr6,Weight sensor measuring empty truck weight,2024-05-08 10:26:31
WS01,tr39,Weight sensor measuring loaded truck weight,2024-05-08 10:53:20
